GPA,Gender,breakfast,calories_chicken,calories_scone,coffee,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight,"Split(,)(comfort_food_reasons)_0",Split( )(comfort_food_reasons)_0,Split( )(diet_current)_0,Split( )(diet_current)_1,Split( )(eating_changes)_0,Split( )(fav_cuisine)_0,Split( -)(fav_cuisine)_0,Split(/)(fav_cuisine)_0,Split( )(food_childhood)_0,Split( )(ideal_diet)_0,Split( )(ideal_diet)_1,Split( )(meals_dinner_friend)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(weight)_0","ExtractWord([Chocolate, Pizza, and, cake, chips, cookies, cream, pizza])(comfort_food)_0","ExtractWord([Boredom, I, Sadness, Stress, bored, boredom, sadness])(comfort_food_reasons)_0","ExtractWord([and, eat, healthy])(diet_current)_0","ExtractWord([I, Less, More, eat, eating, food, less, to])(eating_changes)_0","ExtractWord([Chicken, Pasta, Pizza, Spaghetti, Steak, and, chicken, pizza, steak])(food_childhood)_0","ExtractWord([and, food, of, vegetable, vegetables, veggies])(healthy_meal)_0","ExtractWord([I, a, and, diet, healthy])(ideal_diet)_0","ExtractWord([Chicken, Pasta, Pizza, and, chicken, pasta, steak])(meals_dinner_friend)_0",Lowercase()(fav_cuisine)_fav_cuisine,OneHot()(calories_chicken)_265,OneHot()(calories_chicken)_430,OneHot()(calories_chicken)_610,OneHot()(calories_chicken)_720,OneHot()(comfort_food_reasons_coded.1)_1,OneHot()(comfort_food_reasons_coded.1)_2,OneHot()(comfort_food_reasons_coded.1)_3,OneHot()(comfort_food_reasons_coded.1)_4,OneHot()(comfort_food_reasons_coded.1)_5,OneHot()(comfort_food_reasons_coded.1)_6,OneHot()(comfort_food_reasons_coded.1)_7,OneHot()(comfort_food_reasons_coded.1)_9,OneHot()(diet_current_coded)_1,OneHot()(diet_current_coded)_2,OneHot()(diet_current_coded)_3,OneHot()(diet_current_coded)_4,OneHot()(eating_changes_coded)_1,OneHot()(eating_changes_coded)_2,OneHot()(eating_changes_coded)_3,OneHot()(eating_changes_coded)_4,OneHot()(eating_changes_coded1)_2,OneHot()(eating_changes_coded1)_3,OneHot()(eating_changes_coded1)_5,OneHot()(eating_changes_coded1)_7,OneHot()(eating_changes_coded1)_8,OneHot()(eating_changes_coded1)_10,OneHot()(eating_changes_coded1)_11,OneHot()(eating_changes_coded1)_12,OneHot()(eating_out)_1,OneHot()(eating_out)_2,OneHot()(eating_out)_3,OneHot()(eating_out)_4,OneHot()(eating_out)_5,OneHot()(ethnic_food)_1,OneHot()(ethnic_food)_2,OneHot()(ethnic_food)_3,OneHot()(ethnic_food)_4,OneHot()(ethnic_food)_5,OneHot()(fav_cuisine_coded)_0,OneHot()(fav_cuisine_coded)_1,OneHot()(fav_cuisine_coded)_2,OneHot()(fav_cuisine_coded)_3,OneHot()(fav_cuisine_coded)_4,OneHot()(fav_cuisine_coded)_5,OneHot()(fav_cuisine_coded)_8,OneHot()(fruit_day)_2,OneHot()(fruit_day)_3,OneHot()(fruit_day)_4,OneHot()(fruit_day)_5,OneHot()(grade_level)_1,OneHot()(grade_level)_2,OneHot()(grade_level)_3,OneHot()(grade_level)_4,OneHot()(greek_food)_1,OneHot()(greek_food)_2,OneHot()(greek_food)_3,OneHot()(greek_food)_4,OneHot()(greek_food)_5,OneHot()(healthy_feeling)_1,OneHot()(healthy_feeling)_2,OneHot()(healthy_feeling)_3,OneHot()(healthy_feeling)_4,OneHot()(healthy_feeling)_5,OneHot()(healthy_feeling)_6,OneHot()(healthy_feeling)_7,OneHot()(healthy_feeling)_8,OneHot()(healthy_feeling)_9,OneHot()(healthy_feeling)_10,OneHot()(ideal_diet_coded)_1,OneHot()(ideal_diet_coded)_2,OneHot()(ideal_diet_coded)_3,OneHot()(ideal_diet_coded)_4,OneHot()(ideal_diet_coded)_5,OneHot()(ideal_diet_coded)_6,OneHot()(ideal_diet_coded)_7,OneHot()(ideal_diet_coded)_8,OneHot()(income)_1,OneHot()(income)_2,OneHot()(income)_3,OneHot()(income)_4,OneHot()(income)_5,OneHot()(income)_6,OneHot()(indian_food)_1,OneHot()(indian_food)_2,OneHot()(indian_food)_3,OneHot()(indian_food)_4,OneHot()(indian_food)_5,OneHot()(italian_food)_3,OneHot()(italian_food)_4,OneHot()(italian_food)_5,OneHot()(life_rewarding)_1,OneHot()(life_rewarding)_2,OneHot()(life_rewarding)_3,OneHot()(life_rewarding)_4,OneHot()(life_rewarding)_5,OneHot()(life_rewarding)_6,OneHot()(life_rewarding)_7,OneHot()(life_rewarding)_8,OneHot()(life_rewarding)_9,OneHot()(life_rewarding)_10,OneHot()(nutritional_check)_1,OneHot()(nutritional_check)_2,OneHot()(nutritional_check)_3,OneHot()(nutritional_check)_4,OneHot()(nutritional_check)_5,OneHot()(parents_cook)_1,OneHot()(parents_cook)_2,OneHot()(parents_cook)_3,OneHot()(pay_meal_out)_2,OneHot()(pay_meal_out)_3,OneHot()(pay_meal_out)_4,OneHot()(pay_meal_out)_5,OneHot()(pay_meal_out)_6,OneHot()(thai_food)_1,OneHot()(thai_food)_2,OneHot()(thai_food)_3,OneHot()(thai_food)_4,OneHot()(thai_food)_5,OneHot()(turkey_calories)_345,OneHot()(turkey_calories)_500,OneHot()(turkey_calories)_690,OneHot()(turkey_calories)_850,OneHot()(veggies_day)_2,OneHot()(veggies_day)_3,OneHot()(veggies_day)_4,OneHot()(veggies_day)_5,OneHot()(waffle_calories)_575,OneHot()(waffle_calories)_760,OneHot()(waffle_calories)_900,OneHot()(waffle_calories)_1315,NaN(Anything american style.)(fav_cuisine)_fav_cuisine,NaN(Any type of Colombian cuisine)(fav_cuisine)_fav_cuisine,NaN(I'm not answering this. )(weight)_weight,WordToNumber()(weight)_weight
3.5,1,1,610,980.0,2,1.0,2,1.0,1,2.0,3,4,2,1.0,5,1.0,2.0,Orange chicken and chow mani noodles ,4,1.0,1,5,3,1,9,7,3,1,5,8,1.0,4.0,2,3.0,1,2,2.0,1.0,1.0,1.0,2,940.0,345,5,2,900,116,Boredom ,Boredom,i,eat,Nun,Orange,Orange chicken and chow mani noodles ,Orange chicken and chow mani noodles ,Chicken,"Chicken,",fish,chicken,116.0,and,Boredom,eat,nan,Chicken,and,nan,chicken,orange chicken and chow mani noodles ,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Orange chicken and chow mani noodles ,Orange chicken and chow mani noodles ,116,116.0
3.904,1,1,720,420.0,2,3.0,3,1.0,1,1.0,4,5,1,2.0,5,1.0,3.0,Italian,1,1.0,1,5,2,5,1,2,5,5,5,1,2.0,4.0,5,1.0,1,3,5.0,2.0,1.0,1.0,5,940.0,500,5,1,900,110,sadness,"sadness,",I,am,Less,Italian,Italian,Italian,Scalloped,More,healthy,Chicken,110.0,chips,sadness,eat,Less,and,veggies,healthy,Chicken,italian,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,Italian,Italian,110,110.0
3.4,2,1,430,420.0,2,5.0,3,1.0,1,2.0,2,5,1,3.0,4,3.0,3.0,Chinese ,4,3.0,1,4,1,3,9,1,5,3,4,9,2.0,4.0,2,1.0,2,2,3.0,5.0,2.0,1.0,3,940.0,500,3,2,575,264,Sadness,"Sadness,",I,focus,I,Chinese,Chinese ,Chinese ,"Pizza,",My,ideal,"Cereal,",264.0,and,Sadness,and,I,Pizza,of,a,nan,chinese ,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Chinese ,Chinese ,264,264.0
3.6,1,1,610,420.0,2,2.0,1,1.0,2,2.0,1,3,4,2.0,5,2.0,2.0,italian,1,1.0,1,5,3,4,8,2,5,3,5,10,2.0,4.0,2,2.0,2,3,3.0,3.0,1.0,1.0,5,1165.0,850,5,2,1315,123,stress,"stress,",Not,as,not,italian,italian,italian,"steak,",organic/healthy.,fruits,"pasta,",123.0,cream,boredom,healthy,food,steak,of,a,pasta,italian,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,italian,italian,123,123.0
3.1,2,1,610,420.0,2,3.0,2,1.0,1,2.0,3,4,2,3.0,4,2.0,4.0,Chinese ,4,3.0,1,5,3,4,2,1,5,2,3,1,1.0,4.0,2,2.0,2,3,1.0,3.0,1.0,1.0,4,940.0,500,5,1,900,185,Friends,"Friends,",Making,sure,I,Chinese,Chinese ,Chinese ,Pizza,Eat,a,"Pizza,",185.0,Pizza,boredom,and,I,Pizza,and,a,Pizza,chinese ,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,Chinese ,Chinese ,185,185.0
4.0,1,1,265,420.0,1,3.0,1,nan,1,1.0,2,5,1,2.0,2,2.0,1.0,Jamaican ,7,1.0,1,5,1,2,7,2,1,5,3,9,2.0,2.0,4,1.0,2,2,2.0,3.0,1.0,2.0,1,580.0,345,5,1,760,145,Stress ,Stress,I,eat,More,Jamaican,Jamaican ,Jamaican ,"Curry,",Vegetables,and,Curry,145.0,and,Stress,eat,More,Chicken,of,a,chicken,jamaican ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Jamaican ,Jamaican ,145,145.0
3.6,2,1,430,980.0,2,3.0,2,1.0,3,2.0,1,2,2,3.0,4,1.0,2.0,American or Italian ,5,3.0,1,3,1,3,8,1,6,3,5,7,2.0,2.0,4,1.0,1,6,2.0,2.0,1.0,1.0,3,940.0,500,4,2,900,170,I usually only eat comfort food when I'm bored,I,My,current,I,American,American or Italian ,American or Italian ,chicken,I,like,Grilled,170.0,chips,I,and,I,chicken,of,I,chicken,american or italian ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,American or Italian ,American or Italian ,170,170.0
3.4,1,1,720,980.0,1,3.0,3,1.0,1,1.0,4,6,3,2.0,1,3.0,5.0,Chicken ,5,3.0,1,5,2,3,6,2,5,1,5,9,2.0,3.0,2,1.0,1,2,1.0,3.0,2.0,2.0,1,1165.0,690,5,1,1315,135,Sadness,"Sadness,",I,eat,I,Chicken,Chicken ,Chicken ,Chicken,Lots,of,"Spaghetti,",135.0,Chocolate,Sadness,eat,I,Chicken,food,a,Chicken,chicken ,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,Chicken ,Chicken ,135,135.0
2.2,2,1,430,420.0,2,4.0,2,1.0,2,2.0,3,4,2,3.0,3,2.0,5.0,Italian,1,1.0,1,2,1,3,4,3,5,2,5,7,1.0,4.0,1,1.0,1,3,3.0,4.0,1.0,nan,3,940.0,345,2,2,900,165,boredom,"boredom,",Current,diet,None,Italian,Italian,Italian,manacotti,Something,that,"chicken,",165.0,pizza,boredom,eat,nan,nan,of,a,chicken,italian,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Italian,Italian,165,165.0
3.3,2,1,610,980.0,2,5.0,7,1.0,2,2.0,1,3,4,2.0,4,1.0,5.0,Mexican,2,3.0,1,2,2,2,5,1,6,1,4,2,1.0,4.0,2,1.0,1,2,1.0,6.0,1.0,1.0,1,1165.0,850,3,2,1315,175,happiness,"happiness,",I,eat,Late,Mexican,Mexican,Mexican,"pizza,",3,smaller,"Chicken,",175.0,pizza,nan,eat,food,pizza,vegetable,a,Chicken,mexican,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Mexican,Mexican,175,175.0
3.87,2,1,610,315.0,1,3.0,2,3.0,2,nan,1,8,1,2.0,3,1.0,4.0,Indian,8,2.0,1,3,4,5,8,7,6,5,5,7,2.0,2.0,4,1.0,3,5,5.0,2.0,2.0,1.0,5,725.0,500,2,2,900,195,Mostly boredom,Mostly,Random.,Not,Less,Indian,Indian,Indian,Pasta,Mix,of,"Meat,",195.0,cream,boredom,and,Less,Pasta,and,a,nan,indian,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,Indian,Indian,195,195.0
3.7,2,1,610,420.0,1,5.0,3,2.0,1,1.0,1,3,1,2.0,3,1.0,4.0,italian ,1,1.0,2,4,1,4,2,2,6,5,5,5,1.0,4.0,3,1.0,3,5,2.0,2.0,1.0,1.0,4,940.0,850,3,1,1315,185,sadness,"sadness,",balanced,nan,got,italian,italian ,italian ,pasta,"fruit,",veg,"pasta,",185.0,chips,sadness,nan,nan,nan,nan,a,pasta,italian ,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,italian ,italian ,185,185.0
3.7,2,2,610,420.0,2,4.0,1,1.0,1,1.0,1,7,2,2.0,5,3.0,4.0,Asian ,4,1.0,1,3,3,2,4,1,4,4,5,5,1.0,2.0,2,1.0,2,3,2.0,3.0,1.0,1.0,4,940.0,690,4,1,1315,185,Stress and boredom ,Stress,2,meals,Drink,Asian,Asian ,Asian ,Chicken,3,healthy,"Pizza,",185.0,nan,Stress,eat,nan,Chicken,vegetable,healthy,Pizza,asian ,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,Asian ,Asian ,185,185.0
3.9,1,1,720,420.0,2,1.0,6,1.0,1,2.0,1,2,4,3.0,4,nan,3.0,Chinese,4,1.0,1,4,3,5,5,2,4,3,5,2,2.0,2.0,2,1.0,1,3,3.0,4.0,2.0,2.0,4,940.0,500,4,2,1315,105,A long day,A,I,eat,I,Chinese,Chinese,Chinese,Spaghetti,I,would,"Pasta,",105.0,cake,nan,eat,I,Spaghetti,vegetable,I,Pasta,chinese,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,Chinese,Chinese,105,105.0
2.8,1,2,720,420.0,2,3.0,2,1.0,1,1.0,3,4,2,3.0,2,1.0,4.0,don't have one,0,3.0,1,4,1,3,8,2,6,3,3,5,1.0,3.0,4,1.0,1,3,3.0,3.0,1.0,1.0,3,1165.0,690,3,2,760,125,boredom,boredom,"vegetarian,",eat,"none,",don't,don't have one,don't have one,Chicken,"healthy,","colorful,",Pasta,125.0,cream,boredom,eat,I,Chicken,of,healthy,Pasta,don't have one,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,don't have one,don't have one,125,125.0
3.7,2,1,610,420.0,1,3.0,2,1.0,1,1.0,1,3,2,2.0,2,1.0,4.0,Italian food ,1,1.0,1,3,2,1,9,5,5,1,5,9,2.0,2.0,2,1.0,1,4,1.0,2.0,2.0,1.0,2,1165.0,850,3,2,1315,160,Boredom,"Boredom,",Most,healthy,Tend,Italian,Italian food ,Italian food ,Chicken,Very,healthy,Chicken,160.0,cream,Boredom,healthy,to,Chicken,vegetable,healthy,Chicken,italian food ,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Italian food ,Italian food ,160,160.0
3.0,2,1,610,980.0,2,4.0,2,1.0,1,2.0,2,5,2,3.0,3,1.0,5.0,Mexican ,2,1.0,1,5,1,3,9,6,6,3,4,9,2.0,5.0,4,1.0,1,6,2.0,2.0,1.0,1.0,3,1165.0,500,5,1,1315,175,Boredom ,Boredom,Very,healthy.,A,Mexican,Mexican ,Mexican ,Steak,My,current,"Steak,",175.0,pizza,Boredom,healthy,nan,Steak,vegetable,diet,chicken,mexican ,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Mexican ,Mexican ,175,175.0
3.2,2,1,610,420.0,2,2.0,2,2.0,2,1.0,1,3,2,2.0,2,2.0,4.0,Italian/German,1,1.0,1,3,3,1,4,7,5,1,5,3,1.0,4.0,5,1.0,1,3,2.0,3.0,1.0,2.0,1,940.0,500,2,1,1315,180,survival,"survival,",Whats,necessary,Too,Italian/German,Italian/German,Italian,Deer,Steak,and,Garlic,180.0,cookies,bored,nan,nan,Steak,vegetable,a,and,italian/german,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Italian/German,Italian/German,180,180.0
3.5,2,1,265,420.0,2,3.0,2,nan,2,2.0,1,3,5,3.0,5,2.0,5.0,Indian food - samosas are amazing,8,1.0,1,5,3,3,9,7,5,5,5,10,1.0,5.0,2,1.0,1,4,5.0,2.0,1.0,2.0,5,580.0,500,4,1,760,167,Boredom,"Boredom,",anything,and,Eating,Indian,Indian food,Indian food - samosas are amazing,Crab,Heavy,in,Tomato,167.0,pizza,Boredom,and,less,nan,and,a,nan,indian food - samosas are amazing,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,Indian food - samosas are amazing,Indian food - samosas are amazing,167,167.0
4.0,1,1,720,420.0,2,3.0,1,1.0,1,1.0,1,7,3,2.0,4,2.0,2.0,mexican,2,2.0,1,3,4,2,7,2,5,3,4,8,2.0,5.0,4,3.0,3,3,2.0,3.0,2.0,1.0,3,940.0,500,5,1,1315,115,stress,"stress,",I,eat,I,mexican,mexican,mexican,french,I,would,"pasta,",115.0,cookies,boredom,eat,I,nan,vegetable,I,pasta,mexican,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,mexican,mexican,115,115.0
4.0,2,1,610,420.0,2,2.0,1,1.0,2,2.0,3,4,2,3.0,5,2.0,4.0,italian,1,1.0,1,5,2,5,5,1,4,4,5,3,1.0,2.0,4,4.0,1,3,3.0,4.0,2.0,2.0,4,940.0,690,5,1,1315,205,stres,"stres,",Diet,consists,none,italian,italian,italian,chicken,diet,of,"Chicken,",205.0,chips,boredom,eat,nan,chicken,of,diet,Chicken,italian,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,italian,italian,205,205.0
