,run,k,k_method,i,max depth,accuracy
0,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",5,0.45 k,0,12,0.9215755625407864
1,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",7,0.64 k,0,12,0.9178639504273033
2,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",9,0.82 k,0,12,0.9166251764485309
3,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",4,explain 0.8,0,12,0.9151985529975079
4,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",5,explain 0.85,0,12,0.9215755625407864
5,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",6,explain 0.9,0,12,0.9039711505236735
6,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",7,explain 0.95,0,12,0.9178639504273033
7,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",5,0.45 k,1,12,0.9111998228382026
8,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",7,0.64 k,1,12,0.9138626389227911
9,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",9,0.82 k,1,12,0.9018721545763855
10,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",11,1.00 k,1,12,0.903109162371595
11,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",13,1.18 k,1,12,0.8995876187815055
12,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",15,1.36 k,1,12,0.8987303857390188
13,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",17,1.55 k,1,12,0.9131965612858904
14,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",19,1.73 k,1,12,0.9150993749974526
15,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",21,1.91 k,1,12,0.8637098187578658
16,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",6,explain 0.8,1,12,0.9107231797100834
17,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",8,explain 0.85,1,12,0.9087241316377368
18,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",11,explain 0.9,1,12,0.903109162371595
19,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",16,explain 0.95,1,12,0.903300498924213
20,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",5,0.45 k,2,12,0.9038711120752158
21,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",7,0.64 k,2,12,0.8998722460556365
22,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",9,0.82 k,2,12,0.9006351014944178
23,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",11,1.00 k,2,12,0.8999670312401642
24,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",13,1.18 k,2,12,0.8964460310911708
25,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",15,1.36 k,2,12,0.9068185554339354
26,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",17,1.55 k,2,12,0.9064384183871482
27,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",19,1.73 k,2,12,0.8813178990023781
28,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",21,1.91 k,2,12,0.8784629312035273
29,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",7,explain 0.8,2,12,0.8998722460556365
30,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",8,explain 0.85,2,12,0.8994913391339632
31,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=8, max_depth=2, sample=1000))",9,explain 0.9,2,12,0.9006351014944178
