,run,k,k_method,i,max depth,accuracy
0,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",5,0.45 k,0,12,0.9225270373267046
1,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",7,0.64 k,0,12,0.9162444506738895
2,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",9,0.82 k,0,12,0.9046387226235886
3,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",6,explain 0.8,0,12,0.9220501677647951
4,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",7,explain 0.85,0,12,0.9162444506738895
5,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",8,explain 0.9,0,12,0.9174826812115656
6,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",9,explain 0.95,0,12,0.9046387226235886
7,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",5,0.45 k,1,12,0.8997868805167762
8,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",7,0.64 k,1,12,0.8964506050537304
9,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",9,0.82 k,1,12,0.8799885515075736
10,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",11,1.00 k,1,12,0.8986380460394239
11,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",13,1.18 k,1,12,0.8777961742652565
12,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",15,1.36 k,1,12,0.8882643895277088
13,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",17,1.55 k,1,12,0.8839837945865116
14,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",19,1.73 k,1,12,0.9080542951999208
15,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",21,1.91 k,1,12,0.8999665330858262
16,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",14,explain 0.8,1,12,0.885124568020937
17,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",16,explain 0.85,1,12,0.8849318728655785
18,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",19,explain 0.9,1,12,0.9080542951999208
19,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",24,explain 0.95,1,12,0.9127186048417885
20,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",5,0.45 k,2,12,0.9028239916563676
21,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",7,0.64 k,2,12,0.904825349353373
22,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",9,0.82 k,2,12,0.9050126100977696
23,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",11,1.00 k,2,12,0.9082472620758273
24,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",13,1.18 k,2,12,0.9038699346195074
25,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",15,1.36 k,2,12,0.9044402760499622
26,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",17,1.55 k,2,12,0.9036781904860673
27,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=500))",19,1.73 k,2,12,0.8985419928256718
