battery,camera,display,memory,name,price,processor,rating,reviews,warranty,logprice
4500 mAh Lithium Polymer Battery,16MP + 8MP + 2MP | 32MP Front Camera,16.21 cm (6.38 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"Vivo S1 (Diamond Black, 128 GB)",19990,Helio P65 (MT6768) Processor,4.4,176 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9.902987427494446
5000 mAH Battery,12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera,16.51 cm (6.5 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,"Realme 5 (Crystal Purple, 32 GB)",9999,Qualcomm Snapdragon 665 2 GHz Processor,4.5,"21,245 Reviews",Fingerprint,9.21024036697585
5000 mAH Battery,12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera,16.51 cm (6.5 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,"Realme 5 (Crystal Blue, 32 GB)",9999,Qualcomm Snapdragon 665 2 GHz Processor,4.5,"21,245 Reviews",Fingerprint,9.21024036697585
4000 mAh Li-polymer Battery,12MP + 5MP | 20MP + 2MP Dual Front Camera,15.9 cm (6.26 inch) Full HD+ Display,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Redmi Note 6 Pro (Black, 64 GB)",17998,Qualcomm Snapdragon 636 Processor,4.5,"10,831 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9.798015919593894
4025 mAh Battery,64MP + 13MP + 8MP + 2MP | 44MP + 2MP Dual Front Camera,16.26 cm (6.4 inch) Display,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,"OPPO Reno3 Pro (Sky White, 256 GB)",29990,MediaTek Helio P95 Processor,4.4,216 Reviews,Ultra Steady Video 2.0 and Video Bokeh,10.308619271743055
4000 mAh Battery,13MP Rear Camera | 8MP Front Camera,13.84 cm (5.45 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Asus ZenFone Max M1 (Black, 64 GB)",7499,Qualcomm Snapdragon 430 Processor,4.0,362 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,8.92252495730139
4000 mAh Li-ion Polymer Battery,16MP Rear Camera | 16MP Front Camera,15.06 cm (5.93 inch) Full HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,"Infinix Note 5 Stylus (Bordeaux Red, 64 GB)",10999,Mediatek Helio P23 Octa-core Processor,3.9,306 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9.305559638557117
3600 mAh Battery,16MP + 2MP | 25MP Front Camera,16.28 cm (6.41 inch) Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"OPPO K1 (Piano Black, 64 GB)",14990,Qualcomm Snapdragon 660 Octa Core 1.95 GHz Processor,4.4,"7,643 Reviews",AMOLED Display,9.615138591096644
3600 mAh Battery,16MP + 2MP | 25MP Front Camera,16.28 cm (6.41 inch) Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"OPPO K1 (Astral Blue, 64 GB)",14990,Qualcomm Snapdragon 660 Octa Core 1.95 GHz Processor,4.4,"7,643 Reviews",AMOLED Display,9.615138591096644
3000 mAh Battery,12MP Rear Camera | 8MP Front Camera,14.73 cm (5.8 inch) Quad HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 400 GB,"Samsung Galaxy S9 (Midnight Black, 64 GB)",24999,Exynos 9810 Processor,4.4,"2,331 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,10.126591103050316
5020 mAh Battery,48MP Rear Camera,16.51 cm (6.5 inch) Display,4 GB RAM | 64 GB ROM,"Redmi Note 9 (Green, 64 GB)",14999,1 Year Manufacturer Warranty,,,,9.61573881119536
4025 mAh Battery,64MP + 13MP + 8MP + 2MP | 44MP + 2MP Dual Front Camera,16.26 cm (6.4 inch) Display,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"OPPO Reno3 Pro (Midnight Black, 128 GB)",27990,MediaTek Helio P95 Processor,4.4,216 Reviews,Ultra Steady Video 2.0 and Video Bokeh,10.2396025825095
5000 mAH Battery,12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera,16.51 cm (6.5 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Realme 5 (Crystal Blue, 64 GB)",10999,Qualcomm Snapdragon 665 2 GHz Processor,4.4,"29,669 Reviews",Fingerprint,9.305559638557117
4085 mAh Battery,48MP +8MP+16MP | 16MP Dual Front Camera,16.94 cm (6.67 inch) Quad HD+ Display,8 GB RAM | 256 GB ROM,"OnePlus 7T Pro (Haze Blue, 256 GB)",45470,"Qualcomm® Snapdragon™ 855 Plus (Octa-core, 7nm, up to 2.96 GHz) , with Qualcomm AI Engine Processor",4.5,42 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,10.724808046819057
3000 mAh Battery,13MP Rear Camera,14.5 cm (5.71 inch) Display,3 GB RAM | 32 GB ROM,"Coolpad Cool 3 Plus (Ocean Blue, 32 GB)",7999,1 year from the manufacturer,3.7,2 Reviews,,8.987071812848821
4500 mAh Li-polymer Battery,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"Redmi Note 8 Pro (Electric Blue, 128 GB)",18999,MediaTek Helio G90T Processor,4.4,704 Reviews,"1 Year Warranty on Phone, 6 Months Warranty on Accessories",9.85214162518454
2500 mAh Battery,5MP Rear Camera,13.84 cm (5.45 inch) Display,2 GB RAM | 16 GB ROM,"Coolpad Mega 5C (Gold, 16 GB)",5490,1 Year,3.5,6 Reviews,,8.610683534503575
2600 mAh Lithium-ion Battery,8MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) quarter HD Display,1 GB RAM | 16 GB ROM | Expandable Upto 256 GB,"Samsung Galaxy J2 Core (Blue, 16 GB)",7290,Qualcomm MSM8917 Processor,4.2,731 Reviews,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,8.894258825002703
4030 mAh Battery,13MP Rear Camera,15.8 cm (6.22 inch) Display,3 GB RAM | 32 GB ROM,"Vivo Y91i (Black, 32 GB)",9948,"1 Year Warranty on Phone, 6 Months Warranty on Accessories",4.3,206 Reviews,,9.205126804923296
3500 mAh Li-ion Battery,16MP + 2MP | 16MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"Realme 2 Pro (Blue Ocean, 128 GB)",15490,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE Processor,4.5,"4,727 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9.647949933410914
4010 mAh Battery,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"Panasonic Eluga Ray 610 (Black, 32 GB)",6499,MediaTek Helio P22 Octa Core Processor,4.1,714 Reviews,Domestic,8.77940359789435
3000 mAh Battery,8MP Rear Camera | 5MP Front Camera,13.46 cm (5.3 inch) Full HD+ Display,1 GB RAM | 16 GB ROM | Expandable Upto 512 GB,"Samsung M01 core (Blue, 16 GB)",6394,MediaTek | MT6739WW quad core  Processor,4.5,1 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,8.763115329619787
4000 mAh Li-polymer Battery,48MP + 13MP + 8MP | 20MP Front Camera,16.23 cm (6.39 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,"Redmi K20 (Glacier Blue, 128 GB)",21999,Qualcomm Snapdragon 730 Processor,4.5,"5,085 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9.998752276761909
4500 mAh Lithium-ion Battery,48MP + 12MP + 5MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,8 GB RAM | 512 GB ROM | Expandable Upto 1 TB,"Samsung Galaxy S10 Lite (Prism White, 512 GB)",47999,Qualcomm Snapdragon 855 (SM8150) Processor,4.5,"2,616 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,10.778935456339678
4000 mAh Battery,13MP + 2MP | 5MP Dual Front Camera,15.75 cm (6.2 inch) HD+ Display,2 GB RAM | 32 GB ROM,"Nokia 2.3 (Cyan Green, 32 GB)",9476,MediaTek Helio A22 Processor,4.1,82 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,9.156517565278676
