,run,k,k_method,i,max depth,accuracy
0,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",4,0.44 k,0,12,0.17007533025095398
1,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",6,0.67 k,0,12,0.15556729971621158
2,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",8,0.89 k,0,12,0.19524972840961277
3,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",3,explain 0.8,0,12,0.05010503113500988
4,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",4,explain 0.85,0,12,0.17007533025095398
5,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",4,explain 0.9,0,12,0.17007533025095398
6,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",4,explain 0.95,0,12,0.17007533025095398
7,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",4,0.44 k,1,12,0.05667525044497583
8,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",6,0.67 k,1,12,0.046303169305797344
9,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",8,0.89 k,1,12,0.14655791182363911
10,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",9,1.00 k,1,12,0.2570486775410014
11,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",10,1.11 k,1,12,0.2723633321957907
12,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",12,1.33 k,1,12,0.26911368883805037
13,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",14,1.56 k,1,12,0.25241712998054655
14,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=2, sample=1000))",16,1.78 k,1,12,0.2734872445619472
