,run,k,k_method,i,max depth,accuracy
0,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",3,0.43 k,0,12,0.5650047717587474
1,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",5,0.71 k,0,12,0.543081320778026
2,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",5,explain 0.8,0,12,0.543081320778026
3,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",5,explain 0.85,0,12,0.543081320778026
4,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",6,explain 0.9,0,12,0.5410978159798449
5,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",6,explain 0.95,0,12,0.5410978159798449
6,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",3,0.43 k,1,12,0.5562495691068605
7,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",5,0.71 k,1,12,0.6141268486409324
8,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",7,1.00 k,1,12,0.6277450876432271
9,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",9,1.29 k,1,12,0.6430841484869132
10,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",11,1.57 k,1,12,0.6416251976858982
11,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",13,1.86 k,1,12,0.6408020054335406
12,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",25,explain 0.8,1,12,0.5496647800108979
13,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",28,explain 0.85,1,12,0.5470458036345158
14,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",31,explain 0.9,1,12,0.541620823136258
15,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",35,explain 0.95,1,12,0.5387774288636985
16,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",3,0.43 k,2,12,0.5579705239345609
17,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",5,0.71 k,2,12,0.5665756130406375
18,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",7,1.00 k,2,12,0.6216843415970326
19,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",9,1.29 k,2,12,0.6217965750425993
20,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",11,1.57 k,2,12,0.6178307063287835
21,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",13,1.86 k,2,12,0.6286803593570042
22,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",39,explain 0.8,2,12,0.6098244825695195
23,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",49,explain 0.85,2,12,0.6096370838622163
24,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",66,explain 0.9,2,12,0.5393386030908117
25,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",86,explain 0.95,2,12,0.5385159987779258
26,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",3,0.43 k,3,12,0.5571847918256816
27,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",5,0.71 k,3,12,0.5665756130406375
28,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",7,1.00 k,3,12,0.6181674346626014
29,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",9,1.29 k,3,12,0.6180177480728358
30,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",11,1.57 k,3,12,0.6176810267382973
31,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",13,1.86 k,3,12,0.6268097599352147
32,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",40,explain 0.8,3,12,0.6088142135767123
33,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",53,explain 0.85,3,12,0.537019216871623
34,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",97,explain 0.9,3,12,0.5427810306928902
35,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=8, sample=500))",156,explain 0.95,3,12,0.5449507513201516
