,run,k,k_method,i,max depth,accuracy
0,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",3,0.43 k,0,12,0.6148750436142599
1,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",5,0.71 k,0,12,0.543081320778026
2,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",5,explain 0.8,0,12,0.543081320778026
3,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",5,explain 0.85,0,12,0.543081320778026
4,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",5,explain 0.9,0,12,0.543081320778026
5,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",6,explain 0.95,0,12,0.5410978159798449
6,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",3,0.43 k,1,12,0.5562495691068605
7,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",5,0.71 k,1,12,0.6141268486409324
8,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",7,1.00 k,1,12,0.628194000427656
9,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",9,1.29 k,1,12,0.6349657332777591
10,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",11,1.57 k,1,12,0.638183267032659
11,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",13,1.86 k,1,12,0.638519946371521
12,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",17,explain 0.8,1,12,0.6359009070016242
13,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",21,explain 0.85,1,12,0.6381454079302535
14,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",27,explain 0.9,1,12,0.5780245163760391
15,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",35,explain 0.95,1,12,0.5666135491351165
16,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",3,0.43 k,2,12,0.5563243844046256
17,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",5,0.71 k,2,12,0.5563992137009495
18,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",7,1.00 k,2,12,0.6152866082436813
19,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",9,1.29 k,2,12,0.6141268206438147
20,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",11,1.57 k,2,12,0.6254628815963397
21,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",13,1.86 k,2,12,0.6364995763686128
22,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",21,explain 0.8,2,12,0.6380334824529814
23,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",25,explain 0.85,2,12,0.6333194677607941
24,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",32,explain 0.9,2,12,0.6274083383115708
25,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",49,explain 0.95,2,12,0.581727695133786
26,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",3,0.43 k,3,12,0.5562495691068605
27,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",5,0.71 k,3,12,0.6118072174469638
28,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",7,1.00 k,3,12,0.613902332754843
29,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",9,1.29 k,3,12,0.614164231792337
30,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",11,1.57 k,3,12,0.6249389505350423
31,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",13,1.86 k,3,12,0.6355266135351365
32,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",22,explain 0.8,3,12,0.6367239802662316
33,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",27,explain 0.85,3,12,0.6318228468379181
34,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",34,explain 0.9,3,12,0.6271088041486129
35,"SamplingSelector(iterations=400, evaluator=FeatureEvaluator(folds=4, max_depth=4, sample=1000))",68,explain 0.95,3,12,0.5630214629403902
