battery,camera,display,memory,name,price,processor,rating,reviews,warranty
3765 mAh Battery,48MP + 5MP | 16MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,4 GB RAM | 128 GB ROM,"Realme X (Polar White, 128 GB)",9.798071479779479,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,4.5,"13,219 Reviews",In-display Fingerprint Sensor
4000 mAh Li-polymer Battery,12MP + 5MP | 20MP + 2MP Dual Front Camera,15.9 cm (6.26 inch) Full HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Redmi Note 6 Pro (Black, 64 GB)",9.471704136110091,Qualcomm Snapdragon 636 Processor,4.5,"53,615 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4000 mAh Lithium-ion Polymer Battery,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"OPPO Reno4 Pro (Starry Night, 128 GB)",10.462817585361734,Qualcomm Snapdragon 720G Octa Core Processor,4.7,38 Reviews,65W SuperVOOC 2.0
4440 mAh Li-ion Battery,48MP + 13MP + 13MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,"iQOO 3 (Quantum Silver, 128 GB)",10.462817585361734,Qualcomm Snapdragon 865 Processor,4.5,"1,169 Reviews","In-Display Fingerprint Sensor, Monster Touch Buttons"
4440 mAh Li-ion Battery,48MP + 13MP + 13MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ Display,8 GB RAM | 256 GB ROM,"iQOO 3 (Volcano Orange, 256 GB)",10.54507824618167,Qualcomm Snapdragon 865 Processor,4.5,"1,169 Reviews","In-Display Fingerprint Sensor, Monster Touch Buttons"
6000 mAh Battery,48MP + 8MP + 5MP | 20MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy M21 (Midnight Blue, 64 GB)",9.680281499268713, Exynos 9611-Octa Core processor Processor,4.3,39 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
6000 mAh Battery,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy M31 (Space Black, 64 GB)",9.848714526688836,Samsung Exynos 9 Octa 9611 Processor,4.4,78 Reviews,1 year
4025 mAh Battery,64MP + 13MP + 8MP + 2MP | 44MP + 2MP Dual Front Camera,16.26 cm (6.4 inch) Display,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,"OPPO Reno3 Pro (Midnight Black, 256 GB)",10.308619271743055,MediaTek Helio P95 Processor,4.4,216 Reviews,Ultra Steady Video 2.0 and Video Bokeh
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6 GB RAM | 64 GB ROM,"Realme X2 Pro (Lunar White, 64 GB)",10.308919326755392,Qualcomm Snapdragon 855 Plus Processor,4.5,154 Reviews,90 Hz Ultra Smooth Display
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,12 GB RAM | 256 GB ROM,"Realme X2 Pro (Red Brick, 256 GB)",10.518646164234097,Qualcomm Snapdragon 855 Plus Processor,4.6,955 Reviews,90 Hz Ultra Smooth Display
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,12 GB RAM | 256 GB ROM,"Realme X2 Pro (Lunar White, 256 GB)",10.49124643927466,Qualcomm Snapdragon 855 Plus Processor,4.6,955 Reviews,90 Hz Ultra Smooth Display
6000 mAh Battery,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy M31 (Ocean Blue, 64 GB)",9.847869128773116,Samsung Exynos 9 Octa 9611 Processor,4.4,78 Reviews,1 year
4230 mAh Li-polymer Battery,13MP + 2MP | 5MP Front Camera,15.8 cm (6.22 inch) HD+ Display,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,"OPPO A11K (Flowing Silver, 32 GB)",9.103868127465667,MT6765V/CB Octa Core Processor,4.2,220 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4500 mAh Li-polymer Battery,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"Redmi Note 8 Pro (Electric Blue, 64 GB)",9.680281499268713,MediaTek Helio G90T Processor,4.4,"5,309 Reviews","1 Year Warranty on Phone, 6 Months Warranty on Accessories"
3800 mAh Battery,48 MP + 12 MP + 16 MP | 16MP Front Camera,16.64 cm (6.55 inch) Display,8 GB RAM | 256 GB ROM,"OnePlus 7T (Glacier Blue, 256 GB)",10.568723822335235,Qualcomm® Snapdragon™ 855 Plus Processor,4.6,721 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
4065 mAh Battery,48MP + 13MP + 8MP | 16MP Front Camera,16.76 cm (6.6 inch) Display,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,"OPPO Reno 10x Zoom (Ocean Green, 256 GB)",10.645186773678239,Qualcomm Snapdragon 855 Octa Core 2.8 GHz Processor,4.5,127 Reviews,In-display Fingerprint Sensor
4000 mAh Lithium-ion Polymer Battery,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"OPPO Reno4 Pro Special Edition (Starry Night, 128 GB)",10.462817585361734,Qualcomm Snapdragon 720G Octa Core Processor,4.4,16 Reviews,65W SuperVOOC 2.0
4315 mAh Lithium-ion Battery,48MP + 13MP + 8MP + 8MP | 32MP Front Camera,16.66 cm (6.56 inch) Full HD+ E3 Super AMOLED Display,8 GB RAM | 256 GB ROM,"Vivo X50 Pro (Alpha Grey, 256 GB)",10.819578264407616,Qualcomm Snapdragon 765G Processor,4.4,64 Reviews,5G Phone
4000 mAh Li-polymer Battery,48MP + 5MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"OPPO F11 Pro (Thunder Black, 128 GB)",9.740380214665977,MediaTek Helio P70 Octa Core 2.1 GHz Processor,4.4,"11,506 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6 GB RAM | 64 GB ROM,"Realme X2 Pro (Neptune Blue, 64 GB)",10.308919326755392,Qualcomm Snapdragon 855 Plus Processor,4.5,154 Reviews,90 Hz Ultra Smooth Display
3080 mAh Li Polymer Battery,12MP + 5MP | 16MP Front Camera,15.21 cm (5.99 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Redmi Y2 (Dark Grey, 64 GB)",9.39182824802156,Qualcomm Snapdragon 625 Processor,4.4,"1,867 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
2600 mAh Lithium-ion Battery,8MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) quarter HD Display,1 GB RAM | 16 GB ROM | Expandable Upto 256 GB,"Samsung Galaxy J2 Core (Black, 16 GB)",8.74814616962193,Qualcomm MSM8917 Processor,4.2,731 Reviews,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
4000 mAh Lithium Polymer Battery,48MP + 8MP + 2MP | 16MP Front Camera,16.74 cm (6.59 inch) Full HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"Honor 9X (Midnight Black, 128 GB)",9.680281499268713,Kirin 710F Processor,4.3,"1,707 Reviews",Pop Up AI Selfie camera with Full View Display
5000 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,16.51 cm (6.5 inch) HD+ Display,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy A21s (Black, 64 GB)",9.769899015421748,Exynos 850 Octa Core Processor,4.2,174 Reviews,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
4000 mAh Li-polymer Battery,48MP + 13MP + 8MP | 20MP Front Camera,16.23 cm (6.39 inch) Full HD+ Display,8 GB RAM | 256 GB ROM,"Redmi K20 Pro (Carbon Black, 256 GB)",10.308919326755392,Qualcomm Snapdragon 855 Processor,4.5,"1,884 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4200 mAh Lithium-ion Battery,48MP + 13MP + 8MP + 5MP | 32MP Front Camera,16.66 cm (6.56 inch) Full HD+ E3 Super AMOLED Display,8 GB RAM | 128 GB ROM,"Vivo X50 (Glaze Black, 128 GB)",10.462817585361734,Qualcomm Snapdragon 730 Processor,4.4,24 Reviews,33W Vivo FlashCharge 2.0
